temperatura,humedad,presion,viento,direccion_viento,visibilidad,precipitacion,descripcion,tipo_nubes,timestamp,runway_heading,viento_cruzado,viento_frente,rafagas,techo_nubes,turbulencia,estado_pista,altitud_aeropuerto,altitud_densidad,punto_rocio,riesgo_hielo,tormenta_electrica,cizalladura_viento,hora,mes,dia_año,es_noche,riesgo,source
21.1,74,1009,6.6,202,7514,1.2,nublado,nublado,,270,6.1,2.5,9.9,3601,ninguna,humeda,500,1352.0,18.3,False,False,False,12,9,252,False,BAJO,synthetic
18.1,77,1008,11.7,13,6781,3.1,lluvia_ligera,nublado,,270,11.4,-2.6,14.0,1267,leve,mojada,0,372.0,14.9,False,False,False,22,10,289,True,MODERADO,synthetic
-8.0,84,1000,17.5,249,3887,12.0,nieve,cubierto,,270,6.3,16.3,21.0,1848,leve,nevada,2000,-280.0,-12.8,False,False,False,3,1,26,True,MODERADO,synthetic
27.4,72,1005,7.1,156,6312,0.7,nublado,nublado,,0,2.9,-6.5,9.2,1779,ninguna,seca,0,1488.0,23.4,False,False,False,21,6,169,True,BAJO,synthetic
22.1,73,1006,11.8,139,8617,0.6,nublado,nublado,,315,0.8,-11.8,17.7,3000,leve,humeda,1000,2092.0,20.0,False,False,False,11,4,95,False,BAJO,synthetic
17.43,45,1014,7.344,102,10000,0.0,clouds,nublado,2026-02-05 00:00:00,130,3.4,6.5,9.5,2000,ninguna,seca,8361,10659.0,6.4,False,False,False,20,2,35,False,BAJO,real_forecast
10.0,97,1003,0.4,104,1740,0.3,niebla,cubierto,,135,0.2,0.3,0.6,296,ninguna,humeda,0,-600.0,8.1,True,False,False,3,2,35,True,MODERADO,synthetic
10.1,94,1007,4.9,9,1088,1.9,niebla,cubierto,,0,0.8,4.8,6.9,761,ninguna,humeda,0,-588.0,8.8,False,False,False,1,6,166,True,MODERADO,synthetic
25.6,53,1018,23.2,36,6874,1.2,nublado,dispersas,,0,13.6,18.8,30.2,3215,leve,humeda,1000,2512.0,18.1,False,False,False,13,2,34,False,BAJO,synthetic
11.3,70,1012,26.4,294,4735,3.5,lluvia_ligera,nublado,,0,24.1,10.7,29.0,1622,leve,mojada,0,-444.0,4.9,False,False,False,12,8,235,False,MODERADO,synthetic
19.0,80,1003,20.5,39,5862,6.9,lluvia_ligera,nublado,,270,15.9,-12.9,26.7,1333,moderada,mojada,0,480.0,16.3,False,False,False,7,7,208,False,MODERADO,synthetic
14.1,92,1015,5.7,33,1359,0.8,niebla,cubierto,,0,3.1,4.8,8.6,358,ninguna,mojada,1000,1132.0,12.8,False,False,False,20,7,189,False,MODERADO,synthetic
11.9,96,997,42.9,303,3163,16.1,lluvia_fuerte,cubierto,,0,36.0,23.4,60.1,1366,moderada,contaminada,0,-372.0,10.4,False,True,False,10,5,148,False,ALTO,synthetic
12.0,98,1019,9.6,93,2387,0.9,niebla,cubierto,,90,0.5,9.6,12.5,452,ninguna,humeda,2000,2120.0,10.7,False,False,False,14,1,8,False,MODERADO,synthetic
15.9,93,1013,9.8,113,1124,1.3,niebla,cubierto,,270,3.8,-9.0,11.8,503,ninguna,humeda,2000,2588.0,14.2,False,False,False,17,11,308,False,MODERADO,synthetic
15.3,86,1002,29.4,174,5224,6.0,lluvia_ligera,nublado,,315,18.5,-22.8,38.2,1665,leve,mojada,1000,1276.0,10.7,False,False,False,0,4,98,True,MODERADO,synthetic
15.7,58,1003,13.9,135,7219,0.2,nublado,nublado,,135,0.0,13.9,20.9,2376,ninguna,seca,0,84.0,6.6,False,False,False,23,3,87,True,BAJO,synthetic
19.1,35,1014,18.503999999999998,120,10000,0.0,clouds,despejado,2026-02-04T20:29:10.612228,130,3.2,18.2,24.1,10000,ninguna,seca,8361,10860.0,6.1,False,False,False,20,2,35,False,BAJO,real_current
12.04,91,1019,4.572,132,10000,0.26,rain,cubierto,2026-02-06 03:00:00,130,0.2,4.6,5.9,1000,ninguna,mojada,8361,10012.0,10.2,False,False,False,20,2,35,False,BAJO,real_forecast
20.9,53,1013,15.8,132,7926,0.2,nublado,nublado,,270,10.6,-11.7,20.5,2488,leve,humeda,500,1328.0,7.2,False,False,False,16,3,75,False,BAJO,synthetic
30.2,48,1019,7.6,136,9965,0.0,despejado,despejado,,90,5.5,5.3,8.4,14344,leve,seca,1000,3064.0,19.5,False,False,False,21,9,261,True,BAJO,synthetic
14.0,78,1001,22.3,279,6497,6.7,lluvia_ligera,cubierto,,135,13.1,-18.0,24.5,1460,leve,humeda,500,500.0,10.5,False,False,False,21,4,116,True,MODERADO,synthetic
16.2,75,1019,6.0,292,7237,1.4,nublado,nublado,,180,5.6,-2.2,8.4,2384,leve,humeda,1000,1384.0,11.5,False,False,False,15,5,125,False,BAJO,synthetic
12.7,88,1005,51.2,23,2820,29.3,tormenta,cubierto,,0,20.0,47.1,61.4,730,moderada,contaminada,2500,2824.0,10.4,False,True,True,18,12,358,False,ALTO,synthetic
16.2,100,1003,2.5,160,1256,0.5,niebla,cubierto,,225,2.3,1.1,3.2,635,ninguna,humeda,2500,3244.0,15.4,False,False,False,15,5,131,False,MODERADO,synthetic
-6.5,83,1002,17.9,146,2868,10.1,nieve,cubierto,,180,10.0,14.8,25.1,538,moderada,nevada,1000,-1340.0,-10.6,False,False,False,15,12,361,False,ALTO,synthetic
-1.9,75,1011,31.1,90,2995,11.1,nieve,cubierto,,45,22.0,22.0,34.2,1808,leve,nevada,0,-2028.0,-4.7,False,False,False,1,8,212,True,ALTO,synthetic
8.5,100,1003,43.5,90,1496,15.1,tormenta,cubierto,,180,43.5,0.0,47.9,363,severa,contaminada,500,-160.0,7.5,True,True,True,6,2,45,False,ALTO,synthetic
13.13,93,1016,0.936,230,10000,0.43333333333333335,rain,cubierto,2026-02-07 00:00:00,130,0.9,-0.2,1.2,1000,ninguna,mojada,8361,10143.0,11.7,False,False,False,20,2,35,False,BAJO,real_forecast
22.6,64,1020,6.0,345,7238,0.2,nublado,dispersas,,180,1.6,-5.8,9.0,2331,leve,seca,2500,4012.0,12.0,False,False,False,13,2,55,False,BAJO,synthetic
24.8,62,1002,21.8,138,6179,1.3,nublado,nublado,,225,21.8,1.1,30.5,2567,ninguna,humeda,0,1176.0,14.7,False,False,False,2,11,310,True,MODERADO,synthetic
9.9,72,1002,25.5,19,3549,6.3,lluvia_ligera,nublado,,45,11.2,22.9,30.6,2081,moderada,humeda,2500,2488.0,7.0,True,False,False,0,10,273,True,MODERADO,synthetic
21.8,72,1018,14.5,220,8941,1.0,nublado,dispersas,,315,14.4,-1.3,21.8,3038,ninguna,humeda,2000,3296.0,17.9,False,False,False,2,9,258,True,BAJO,synthetic
14.1,57,1014,18.9,69,7886,0.0,nublado,dispersas,,225,7.7,-17.3,22.7,3792,ninguna,seca,1000,1132.0,3.5,False,False,False,14,8,212,False,BAJO,synthetic
12.2,100,1007,8.0,300,1753,0.2,niebla,cubierto,,0,6.9,4.0,9.6,655,ninguna,mojada,0,-336.0,10.8,False,False,False,18,11,328,False,MODERADO,synthetic
9.7,96,1015,0.0,194,1739,1.7,niebla,cubierto,,90,0.0,-0.0,0.0,456,ninguna,mojada,500,-16.0,8.6,True,False,False,22,8,213,True,MODERADO,synthetic
19.4,72,1008,39.5,303,3638,11.4,granizo,cubierto,,45,38.6,-8.2,47.4,1846,severa,contaminada,500,1148.0,15.7,False,True,True,23,9,256,True,ALTO,synthetic
32.2,40,1015,11.8,224,9307,0.0,despejado,despejado,,0,8.2,-8.5,14.2,14166,ninguna,seca,500,2684.0,20.0,False,False,False,3,11,320,True,BAJO,synthetic
14.8,53,1020,9.4,117,6289,1.1,nublado,nublado,,45,8.9,2.9,14.1,3886,leve,humeda,0,-24.0,7.4,False,False,False,20,6,171,False,BAJO,synthetic
11.8,71,1014,10.3,75,6674,7.5,lluvia_ligera,nublado,,90,2.7,9.9,12.4,1632,moderada,humeda,0,-384.0,8.6,False,False,False,1,9,250,True,BAJO,synthetic
13.1,62,1012,22.9,46,8378,1.5,nublado,dispersas,,270,15.9,-16.5,32.1,3984,leve,seca,2000,2252.0,8.1,False,False,False,6,6,177,False,BAJO,synthetic
18.3,69,1009,15.5,169,8649,0.7,nublado,nublado,,270,15.2,-3.0,17.1,3376,ninguna,seca,2500,3496.0,5.4,False,False,False,16,7,187,False,BAJO,synthetic
15.8,53,1011,19.2,225,7472,0.1,nublado,dispersas,,0,13.6,-13.6,28.8,2304,ninguna,seca,1000,1336.0,9.8,False,False,False,18,3,68,False,BAJO,synthetic
13.3,76,1019,11.0,220,5700,6.2,lluvia_ligera,nublado,,135,11.0,1.0,14.3,1034,leve,mojada,2500,2896.0,9.8,False,False,False,7,5,133,False,MODERADO,synthetic
19.5,45,1011,9.5,87,9798,0.0,despejado,despejado,,270,0.5,-9.5,14.2,12495,leve,seca,500,1160.0,12.3,False,False,False,22,5,131,True,BAJO,synthetic
18.3,38,1021,11.2,133,8340,0.0,despejado,despejado,,45,11.2,0.4,13.4,11129,leve,seca,500,1016.0,9.9,False,False,False,5,4,115,True,BAJO,synthetic
13.0,93,1006,4.5,28,1532,0.4,niebla,cubierto,,45,1.3,4.3,5.0,315,ninguna,humeda,500,380.0,12.7,False,False,False,13,3,67,False,MODERADO,synthetic
17.2,49,1016,1.3,182,9451,0.0,despejado,despejado,,225,0.9,1.0,1.8,10212,leve,seca,0,264.0,11.4,False,False,False,9,5,140,False,BAJO,synthetic
14.3,75,1011,23.2,318,5637,7.1,lluvia_ligera,nublado,,180,15.5,-17.2,30.2,1502,moderada,humeda,500,536.0,9.4,False,False,False,3,3,75,True,MODERADO,synthetic
22.2,54,1005,23.8,35,8258,1.4,nublado,dispersas,,315,23.4,4.1,28.6,2318,leve,humeda,500,1484.0,13.7,False,False,False,18,12,356,False,MODERADO,synthetic
12.6,98,1000,2.2,111,2247,1.4,niebla,cubierto,,180,2.1,0.8,2.6,517,ninguna,humeda,2500,2812.0,11.4,False,False,False,13,6,165,False,MODERADO,synthetic
30.1,52,1021,5.9,272,9944,0.0,despejado,despejado,,135,4.0,-4.3,6.5,6306,ninguna,seca,2500,4912.0,23.5,False,False,False,9,8,229,False,BAJO,synthetic
7.3,100,998,26.2,78,2020,18.3,lluvia_fuerte,cubierto,,315,22.0,-14.3,31.4,665,severa,contaminada,0,-924.0,6.9,True,False,True,11,4,107,False,ALTO,synthetic
13.5,86,1006,25.9,109,6673,3.8,lluvia_ligera,cubierto,,180,24.5,8.4,38.8,1904,moderada,humeda,2000,2300.0,9.2,False,False,False,11,10,275,False,MODERADO,synthetic
14.6,71,1009,21.1,221,8723,1.9,nublado,nublado,,270,15.9,13.8,27.4,1967,leve,seca,500,572.0,12.3,False,False,False,11,5,124,False,BAJO,synthetic
10.6,90,1003,19.0,242,3975,2.4,lluvia_ligera,cubierto,,225,5.6,18.2,26.6,2457,moderada,mojada,0,-528.0,5.8,False,False,False,9,7,204,False,MODERADO,synthetic
12.1,99,1000,4.9,288,833,1.2,niebla,cubierto,,90,1.5,-4.7,5.9,152,ninguna,mojada,1000,892.0,11.1,False,False,False,20,2,45,False,ALTO,synthetic
6.7,90,989,53.3,16,894,30.3,tormenta,cubierto,,45,25.8,46.6,79.9,569,severa,contaminada,500,-376.0,4.5,True,True,False,9,8,217,False,ALTO,synthetic
11.5,96,1018,12.0,117,943,0.1,niebla,cubierto,,315,3.7,-11.4,13.2,381,ninguna,humeda,2000,2060.0,10.4,False,False,False,21,10,286,True,MODERADO,synthetic
32.5,46,1028,6.5,233,9162,0.0,despejado,despejado,,270,3.9,5.2,8.5,8206,ninguna,seca,500,2720.0,18.2,False,False,False,11,3,85,False,BAJO,synthetic
26.5,55,1023,8.5,328,9312,0.0,despejado,despejado,,135,1.9,-8.3,12.8,14079,ninguna,seca,0,1380.0,19.5,False,False,False,6,8,227,False,BAJO,synthetic
24.5,37,1014,19.7,252,8215,0.0,despejado,despejado,,225,8.9,17.6,29.5,9243,leve,seca,0,1140.0,16.9,False,False,False,14,5,130,False,BAJO,synthetic
9.8,98,1013,9.8,163,2083,0.2,niebla,cubierto,,180,2.9,9.4,13.7,793,ninguna,mojada,2000,1856.0,9.4,True,False,False,0,6,176,True,MODERADO,synthetic
25.0,55,1002,10.4,229,8877,0.7,nublado,dispersas,,180,7.8,6.8,14.6,2402,leve,humeda,1000,2440.0,14.4,False,False,False,15,3,62,False,BAJO,synthetic
17.9,94,1015,6.1,148,1251,1.2,niebla,cubierto,,225,5.9,1.4,7.3,292,ninguna,humeda,2000,2828.0,17.0,False,False,False,9,2,46,False,MODERADO,synthetic
25.5,68,1016,22.4,77,6060,1.1,nublado,nublado,,225,11.9,-19.0,29.1,3730,leve,humeda,2000,3740.0,20.2,False,False,False,20,10,272,False,BAJO,synthetic
23.3,35,1018,3.6,60,8339,0.0,despejado,despejado,,270,1.8,-3.1,4.3,14429,leve,seca,500,1616.0,9.8,False,False,False,19,12,357,False,BAJO,synthetic
-2.1,92,1018,27.5,220,2695,15.9,nieve,cubierto,,270,21.1,17.7,33.0,1745,leve,nevada,2500,1048.0,-3.4,False,False,False,12,9,243,False,ALTO,synthetic
12.6,96,988,38.3,340,3020,22.7,lluvia_fuerte,cubierto,,135,16.2,-34.7,53.6,1125,severa,mojada,2000,2192.0,12.0,False,False,False,1,8,224,True,ALTO,synthetic
17.1,82,1000,24.7,43,4899,2.8,lluvia_ligera,cubierto,,45,0.9,24.7,29.6,2156,leve,mojada,500,872.0,13.4,False,False,False,3,1,12,True,MODERADO,synthetic
17.31,66,1018,5.508,286,10000,0.0,clouds,cubierto,2026-02-06 15:00:00,130,2.2,-5.0,7.2,1000,ninguna,seca,8361,10645.0,10.5,False,False,False,20,2,35,False,BAJO,real_forecast
29.7,36,1018,12.2,31,8418,0.0,despejado,despejado,,315,11.8,3.0,17.1,10033,leve,seca,2000,4244.0,20.7,False,False,False,1,3,88,True,BAJO,synthetic
26.9,51,1011,21.9,64,6247,0.5,nublado,nublado,,315,20.7,-7.1,28.5,1568,leve,seca,0,1428.0,13.5,False,False,False,6,10,296,False,MODERADO,synthetic
13.21,92,1018,1.1520000000000001,118,10000,0.5633333333333334,rain,cubierto,2026-02-07 03:00:00,130,0.2,1.1,1.5,1000,ninguna,mojada,8361,10153.0,11.6,False,False,False,20,2,35,False,BAJO,real_forecast
16.7,100,1001,11.0,350,836,1.2,niebla,cubierto,,0,1.9,10.8,12.1,238,ninguna,humeda,2500,3304.0,14.9,False,False,False,23,3,73,True,MODERADO,synthetic
22.8,60,1007,7.7,64,8454,0.4,nublado,dispersas,,0,6.9,3.4,10.8,3919,leve,seca,2500,4036.0,17.6,False,False,False,15,6,175,False,BAJO,synthetic
25.3,69,1014,11.4,5,7849,1.5,nublado,nublado,,180,1.0,-11.4,16.0,1909,leve,seca,0,1236.0,10.4,False,False,False,2,10,292,True,BAJO,synthetic
19.2,79,1009,15.1,57,6847,4.6,lluvia_ligera,nublado,,45,3.1,14.8,18.1,2443,moderada,mojada,500,1124.0,17.1,False,False,False,17,1,6,False,BAJO,synthetic
26.9,44,1020,2.7,39,8334,0.0,despejado,despejado,,90,2.1,1.7,3.5,10273,ninguna,seca,0,1428.0,14.8,False,False,False,1,9,251,True,BAJO,synthetic
20.7,25,1016,3.9,117,8311,0.0,despejado,despejado,,135,1.2,3.7,5.5,10176,ninguna,seca,2500,3784.0,15.7,False,False,False,8,1,10,False,BAJO,synthetic
-3.3,80,1016,26.3,87,2495,17.8,nieve,cubierto,,135,19.5,17.6,39.5,1542,moderada,contaminada,2000,284.0,-7.9,False,False,False,20,1,16,False,ALTO,synthetic
20.9,47,1015,7.4,282,8392,0.0,despejado,despejado,,315,4.0,6.2,9.6,7713,ninguna,seca,0,708.0,8.6,False,False,False,13,5,122,False,BAJO,synthetic
15.5,87,1016,16.2,147,3862,5.6,lluvia_ligera,nublado,,0,8.8,-13.6,21.1,1673,moderada,humeda,2000,2540.0,13.4,False,False,False,15,7,186,False,MODERADO,synthetic
13.7,55,1010,10.6,266,8075,0.9,nublado,nublado,,90,0.7,-10.6,11.7,2981,leve,seca,0,-156.0,-1.1,False,False,False,13,7,207,False,BAJO,synthetic
1.5,77,1004,26.6,19,3621,13.3,nieve,cubierto,,270,25.2,-8.7,34.6,1706,moderada,contaminada,2000,860.0,-1.4,True,False,False,8,5,136,False,ALTO,synthetic
17.2,84,1013,17.6,278,4756,6.4,lluvia_ligera,cubierto,,225,14.1,10.6,24.6,2098,leve,humeda,2500,3364.0,12.2,False,False,False,16,11,326,False,MODERADO,synthetic
12.1,98,1007,6.8,14,1132,1.0,niebla,cubierto,,180,1.6,-6.6,10.2,224,ninguna,humeda,1000,892.0,11.3,False,False,False,3,9,253,True,MODERADO,synthetic
11.1,76,1002,10.8,285,5416,7.5,lluvia_ligera,cubierto,,45,9.4,-5.4,13.0,1807,leve,mojada,2000,2012.0,7.2,False,False,False,3,5,127,True,BAJO,synthetic
14.2,52,1002,7.4,5,7401,0.9,nublado,nublado,,270,7.4,-0.6,10.4,3450,ninguna,humeda,500,524.0,2.3,False,False,False,20,10,297,False,BAJO,synthetic
20.4,71,1019,44.1,7,2982,17.3,granizo,cubierto,,315,34.8,27.2,61.7,1173,severa,contaminada,1000,1888.0,16.6,False,True,False,10,12,336,False,ALTO,synthetic
-5.8,76,1005,16.3,343,3889,15.9,nieve,cubierto,,0,4.8,15.6,24.5,1068,leve,contaminada,2500,604.0,-7.9,False,False,False,6,5,142,False,ALTO,synthetic
22.7,64,1004,24.9,303,7103,0.2,nublado,nublado,,225,24.4,5.2,37.3,1537,leve,humeda,2000,3404.0,7.7,False,False,False,22,6,158,True,MODERADO,synthetic
14.1,79,1000,20.6,270,5673,4.4,lluvia_ligera,cubierto,,225,14.6,14.6,26.8,1391,moderada,humeda,1000,1132.0,11.9,False,False,False,22,5,146,True,MODERADO,synthetic
34.0,47,1017,7.9,293,9298,0.0,despejado,despejado,,225,7.3,3.0,8.7,9206,leve,seca,2500,5380.0,21.6,False,False,False,4,12,342,True,BAJO,synthetic
6.3,88,984,43.0,258,2206,21.9,tormenta,cubierto,,135,36.1,-23.4,64.5,653,severa,mojada,2500,2056.0,4.2,True,True,False,0,1,23,True,ALTO,synthetic
12.1,98,1012,5.0,136,1068,0.4,niebla,cubierto,,0,3.5,-3.6,6.5,502,ninguna,mojada,0,-348.0,11.7,False,False,False,19,6,173,False,MODERADO,synthetic
9.0,95,1020,5.7,245,1196,1.1,niebla,cubierto,,45,1.9,-5.4,6.8,559,ninguna,mojada,1000,520.0,8.3,True,False,False,9,10,291,False,MODERADO,synthetic
15.5,53,1013,18.9,358,8336,0.0,despejado,despejado,,315,12.9,13.8,26.5,9482,leve,seca,2500,3160.0,6.1,False,False,False,1,4,103,True,BAJO,synthetic
-8.0,77,1019,31.2,20,2025,9.4,nieve,cubierto,,180,10.7,-29.3,40.6,1421,leve,nevada,2500,340.0,-10.6,False,False,False,14,11,319,False,ALTO,synthetic
10.9,100,1019,3.5,122,1036,1.6,niebla,cubierto,,315,0.8,-3.4,4.5,336,ninguna,humeda,1000,748.0,10.3,False,False,False,4,12,356,True,MODERADO,synthetic
10.4,87,1002,20.1,52,4780,3.9,lluvia_ligera,nublado,,315,20.0,-2.4,28.1,2121,moderada,mojada,0,-552.0,6.5,False,False,False,23,11,327,True,MODERADO,synthetic
19.8,85,981,40.1,44,2297,11.7,lluvia_fuerte,cubierto,,270,28.8,-27.9,48.1,974,moderada,contaminada,2000,3056.0,17.7,False,False,True,16,6,165,False,ALTO,synthetic
-1.2,85,1020,19.8,216,1304,17.2,nieve,cubierto,,270,16.0,11.6,23.8,492,leve,contaminada,0,-1944.0,-5.1,False,False,False,3,10,294,True,ALTO,synthetic
12.4,79,1001,19.6,100,3101,7.0,lluvia_ligera,nublado,,45,16.1,11.2,27.4,2467,leve,mojada,500,308.0,8.1,False,False,False,4,5,141,True,MODERADO,synthetic
12.5,87,1004,16.6,335,3988,3.3,lluvia_ligera,nublado,,225,15.6,-5.7,18.3,2326,leve,humeda,2500,2800.0,9.8,False,False,False,9,6,156,False,MODERADO,synthetic
17.7,85,1012,26.1,167,3528,22.5,granizo,cubierto,,225,22.1,13.8,33.9,1027,severa,contaminada,500,944.0,14.0,False,True,True,0,10,284,True,ALTO,synthetic
19.2,81,1004,22.5,357,5091,6.1,lluvia_ligera,cubierto,,0,1.2,22.5,29.2,2389,leve,mojada,1000,1744.0,16.8,False,False,False,19,2,46,False,MODERADO,synthetic
8.8,90,995,25.8,14,2290,11.9,lluvia_fuerte,cubierto,,135,22.1,-13.3,31.0,1123,moderada,contaminada,2500,2356.0,5.6,False,False,False,15,4,117,False,ALTO,synthetic
19.5,94,987,40.4,260,1395,15.4,lluvia_fuerte,cubierto,,135,33.1,-23.2,52.5,985,severa,contaminada,0,540.0,18.4,False,False,False,16,2,57,False,ALTO,synthetic
14.64,86,1014,5.4,255,10000,0.9166666666666666,rain,cubierto,2026-02-06 21:00:00,130,4.4,-3.1,7.0,1000,ninguna,mojada,8361,10324.0,11.8,False,False,False,20,2,35,False,BAJO,real_forecast
8.2,100,1004,10.1,164,2259,0.5,niebla,cubierto,,0,2.8,-9.7,13.1,547,ninguna,humeda,0,-816.0,6.4,True,False,False,8,4,96,False,MODERADO,synthetic
14.7,97,1008,7.4,326,1874,1.0,niebla,cubierto,,225,7.3,-1.4,11.1,370,ninguna,humeda,500,584.0,13.8,False,False,False,14,5,134,False,MODERADO,synthetic
14.4,69,1010,9.4,322,6513,0.7,nublado,dispersas,,90,7.4,-5.8,13.2,1823,leve,humeda,2000,2408.0,8.3,False,False,False,5,11,310,True,BAJO,synthetic
12.2,70,1006,24.2,135,4232,2.0,lluvia_ligera,nublado,,270,17.1,-17.1,29.0,1377,leve,mojada,500,284.0,1.9,False,False,False,9,11,321,False,MODERADO,synthetic
21.9,71,1012,31.4,307,2360,21.6,granizo,cubierto,,135,4.4,-31.1,47.1,1342,severa,mojada,2500,3928.0,17.5,False,True,False,7,3,66,False,ALTO,synthetic
