temperatura,humedad,viento,visibilidad,descripcion,precipitacion,direccion_viento,runway_heading,viento_cruzado,viento_frente,rafagas,techo_nubes,tipo_nubes,turbulencia,estado_pista,presion,altitud_aeropuerto,altitud_densidad,punto_rocio,riesgo_hielo,tormenta_electrica,cizalladura_viento,hora,es_noche,mes,dia_año,riesgo
17.3,93,4.8,1565,niebla,0.5,259,315,4.0,2.7,6.7,147,cubierto,ninguna,humeda,1000,2500,3376.0,16.9,False,False,False,21,True,11,300,Precaución
22.5,68,5.5,6197,nublado,0.4,334,0,2.4,4.9,8.2,1839,dispersas,leve,humeda,1012,2500,4000.0,17.5,False,False,False,4,True,1,3,Seguro
20.4,75,22.7,6317,lluvia_ligera,6.2,337,270,20.9,8.9,27.2,1943,nublado,moderada,humeda,1016,2500,3748.0,17.7,False,False,False,5,True,2,46,Precaución
34.9,30,14.9,8920,despejado,0.0,153,180,6.8,13.3,17.9,7791,despejado,leve,seca,1026,500,3008.0,21.0,False,False,False,5,True,4,99,Seguro
14.0,67,9.7,7086,nublado,1.0,190,90,9.6,-1.7,13.6,2656,dispersas,ninguna,seca,1007,1000,1120.0,2.9,False,False,False,13,False,12,359,Seguro
14.9,96,11.9,2023,niebla,1.2,26,45,3.9,11.3,14.3,130,cubierto,ninguna,mojada,1015,0,-12.0,14.2,False,False,False,10,False,12,349,Precaución
24.0,50,11.4,8385,despejado,0.0,256,270,2.8,11.1,17.1,10267,despejado,leve,seca,1024,0,1080.0,10.9,False,False,False,10,False,2,44,Seguro
5.0,87,42.7,3351,lluvia_fuerte,20.0,131,0,32.2,-28.0,55.5,605,cubierto,moderada,mojada,989,1000,40.0,1.6,False,False,True,3,True,4,90,Peligro
11.4,89,33.5,4611,granizo,22.5,359,180,0.6,-33.5,40.2,622,cubierto,severa,contaminada,1007,1000,808.0,6.5,False,True,False,20,False,6,178,Peligro
20.1,80,11.0,6539,lluvia_ligera,4.4,121,315,2.7,-10.7,13.2,1845,nublado,leve,mojada,1008,0,612.0,16.9,False,False,False,17,False,2,56,Seguro
34.1,35,1.1,9831,despejado,0.0,35,180,0.6,-0.9,1.4,10174,despejado,ninguna,seca,1020,2500,5392.0,19.4,False,False,False,20,False,7,209,Seguro
32.3,54,9.4,9244,despejado,0.0,88,315,6.9,-6.4,13.2,12446,despejado,leve,seca,1030,2500,5176.0,19.2,False,False,False,1,True,7,190,Seguro
11.3,94,9.8,948,niebla,1.3,194,270,9.5,2.4,12.7,535,cubierto,ninguna,humeda,1014,500,176.0,9.7,False,False,False,21,True,9,262,Precaución
16.0,56,12.2,6337,nublado,1.8,278,315,7.3,9.7,17.1,2512,nublado,leve,seca,1009,1000,1360.0,4.0,False,False,False,20,False,1,12,Seguro
20.9,67,20.3,8331,nublado,0.7,226,225,0.4,20.3,28.4,3430,nublado,leve,humeda,1013,0,708.0,8.5,False,False,False,1,True,2,53,Seguro
15.2,51,1.3,8651,despejado,0.0,83,180,1.3,-0.2,2.0,9196,despejado,ninguna,seca,1019,500,644.0,3.3,False,False,False,5,True,4,108,Seguro
24.1,50,17.3,6369,nublado,0.8,79,180,17.0,-3.3,20.8,1537,dispersas,leve,seca,1015,0,1092.0,16.4,False,False,False,17,False,12,347,Seguro
8.0,100,3.7,2276,niebla,0.6,125,45,3.6,0.6,4.1,419,cubierto,ninguna,humeda,1020,2000,1640.0,7.5,True,False,False,2,True,10,286,Precaución
21.3,54,17.4,8218,despejado,0.0,56,45,3.3,17.1,22.6,13033,despejado,ninguna,seca,1023,1000,1996.0,6.4,False,False,False,11,False,9,265,Seguro
12.5,84,14.0,3448,lluvia_ligera,7.9,125,135,2.4,13.8,16.8,845,nublado,leve,humeda,1011,500,320.0,9.9,False,False,False,21,True,5,130,Precaución
11.1,87,27.3,5669,lluvia_ligera,2.8,352,90,27.0,-3.8,30.0,1079,nublado,moderada,humeda,1019,500,152.0,8.4,False,True,False,5,True,9,265,Peligro
12.2,92,47.2,1375,tormenta,30.4,184,315,35.6,-31.0,66.1,269,cubierto,moderada,contaminada,986,500,284.0,11.6,False,True,False,7,False,8,236,Peligro
20.2,77,30.0,2163,granizo,18.7,12,180,6.2,-29.3,36.0,1582,cubierto,severa,mojada,1004,0,624.0,17.1,False,True,True,13,False,10,291,Peligro
15.7,97,12.0,2376,niebla,0.9,90,0,12.0,0.0,16.8,697,cubierto,ninguna,humeda,1000,0,84.0,15.2,False,False,False,11,False,7,206,Precaución
24.4,39,13.6,9512,despejado,0.0,50,0,10.4,8.7,16.3,11970,despejado,ninguna,seca,1023,2500,4228.0,16.7,False,False,False,3,True,2,41,Seguro
24.4,37,10.1,9118,despejado,0.0,69,0,9.4,3.6,13.1,10012,despejado,ninguna,seca,1030,0,1128.0,18.3,False,False,False,6,False,8,220,Seguro
10.0,88,18.4,6837,lluvia_ligera,7.4,34,90,15.3,10.3,23.9,1380,nublado,leve,mojada,1018,1000,640.0,6.3,False,True,False,10,False,7,194,Peligro
12.8,70,19.7,4210,lluvia_ligera,4.5,105,315,9.8,-17.1,23.6,975,nublado,moderada,humeda,1003,2000,2216.0,0.6,False,False,False,14,False,6,164,Precaución
25.1,51,8.6,6659,nublado,1.6,42,270,6.4,-5.8,10.3,3019,nublado,ninguna,humeda,1000,0,1212.0,13.0,False,False,False,1,True,6,160,Seguro
12.6,71,22.6,4147,lluvia_ligera,7.2,314,180,16.3,-15.7,27.1,1840,cubierto,leve,humeda,1012,2500,2812.0,9.5,False,False,False,16,False,8,238,Precaución
12.2,95,5.2,1497,niebla,1.9,117,180,4.6,2.4,7.8,388,cubierto,ninguna,mojada,1011,2500,2764.0,11.1,False,False,False,20,False,10,287,Precaución
11.8,95,3.6,2068,niebla,0.6,226,225,0.1,3.6,5.0,377,cubierto,ninguna,mojada,1007,2000,2096.0,10.4,False,False,False,18,False,7,198,Precaución
18.6,68,11.0,7031,nublado,1.1,170,90,10.8,1.9,14.3,3039,dispersas,leve,humeda,1016,500,1052.0,7.4,False,False,False,6,False,2,51,Seguro
17.7,87,13.3,3997,lluvia_ligera,7.6,249,180,12.4,4.8,14.6,883,nublado,leve,mojada,1005,0,324.0,13.6,False,False,True,18,False,5,146,Peligro
12.5,96,21.8,1173,lluvia_fuerte,16.5,327,225,21.3,-4.5,26.2,1241,cubierto,moderada,contaminada,992,0,-300.0,10.6,False,False,False,5,True,11,317,Peligro
12.8,54,19.3,7141,nublado,0.3,347,90,18.8,-4.3,23.2,2709,nublado,leve,seca,1015,2000,2216.0,-2.1,False,False,False,3,True,11,317,Seguro
13.8,86,28.5,3622,lluvia_ligera,6.1,316,225,28.5,-0.5,42.8,2096,cubierto,leve,mojada,1000,2500,2956.0,11.2,False,False,False,8,False,9,255,Peligro
18.7,59,16.3,6264,nublado,1.2,297,135,5.0,-15.5,17.9,3095,dispersas,leve,humeda,1015,500,1064.0,10.3,False,False,False,5,True,6,177,Seguro
8.0,72,10.7,6560,lluvia_ligera,6.6,357,135,7.2,-8.0,11.8,1585,nublado,leve,humeda,1009,0,-840.0,4.8,False,False,False,3,True,7,204,Seguro
-6.9,76,20.6,1532,nieve,12.1,206,225,6.7,19.5,28.8,1313,cubierto,leve,contaminada,1018,2000,-148.0,-10.8,False,False,False,14,False,12,353,Peligro
24.0,54,5.5,8936,nublado,0.7,128,180,4.3,3.4,7.2,1858,dispersas,ninguna,seca,1007,1000,2320.0,14.9,False,False,False,14,False,11,323,Seguro
-5.9,88,15.1,1671,nieve,10.4,354,180,1.6,-15.0,16.6,1966,cubierto,moderada,contaminada,1004,0,-2508.0,-10.5,False,False,False,0,True,5,123,Peligro
5.1,93,3.3,1974,niebla,1.5,153,0,1.5,-2.9,4.6,202,cubierto,ninguna,humeda,1001,2500,1912.0,3.4,True,False,False,15,False,11,303,Precaución
19.2,73,15.6,5899,lluvia_ligera,2.5,170,315,8.9,-12.8,21.8,803,cubierto,leve,humeda,1014,1000,1744.0,14.4,False,False,False,17,False,8,227,Seguro
17.7,69,23.9,6679,nublado,0.7,29,135,23.0,-6.6,33.5,3723,nublado,leve,humeda,1011,2500,3424.0,7.4,False,False,False,23,True,10,278,Precaución
17.4,92,0.8,971,niebla,1.4,216,315,0.8,-0.1,1.1,750,cubierto,ninguna,humeda,1010,2000,2768.0,17.3,False,False,False,16,False,8,226,Precaución
13.9,99,7.2,945,niebla,0.9,7,135,5.7,-4.4,8.6,665,cubierto,ninguna,humeda,1019,0,-132.0,13.6,False,False,False,14,False,9,258,Precaución
8.1,82,10.9,5540,lluvia_ligera,4.7,327,135,2.3,-10.7,16.4,2174,nublado,leve,humeda,1011,500,-208.0,4.9,False,False,False,22,True,3,61,Seguro
-5.5,75,25.5,1567,nieve,14.1,166,0,6.2,-24.7,30.6,1430,cubierto,leve,contaminada,1020,2000,20.0,-9.6,False,False,False,11,False,1,12,Peligro
24.9,58,24.5,8960,nublado,1.2,29,180,11.9,-21.4,31.9,1981,nublado,ninguna,humeda,1007,2000,3668.0,19.2,False,False,False,1,True,1,2,Seguro
34.4,25,14.8,8331,despejado,0.0,132,90,9.9,11.0,20.7,5966,despejado,ninguna,seca,1023,1000,3568.0,25.4,False,False,False,8,False,4,93,Seguro
7.3,97,0.7,1882,niebla,0.2,308,90,0.4,-0.6,0.8,679,cubierto,ninguna,mojada,1003,1000,316.0,5.4,True,False,False,14,False,2,37,Precaución
21.8,82,18.2,4067,lluvia_ligera,6.3,224,0,12.6,-13.1,25.5,2036,nublado,moderada,mojada,1001,500,1436.0,19.6,False,False,False,3,True,12,365,Precaución
2.5,91,12.7,2560,nieve,7.2,82,45,7.6,10.1,17.8,1772,cubierto,leve,nevada,1004,0,-1500.0,1.1,True,False,False,9,False,4,105,Peligro
16.1,61,23.7,6253,nublado,1.2,111,135,9.6,21.7,33.2,3106,dispersas,leve,seca,1005,2500,3232.0,3.5,False,False,False,5,True,4,98,Seguro
7.8,100,44.9,1553,tormenta,27.8,41,270,33.9,-29.5,49.4,542,cubierto,moderada,contaminada,1003,1000,376.0,6.2,True,True,False,21,True,3,74,Peligro
13.4,97,50.5,2417,tormenta,30.7,101,315,28.2,-41.9,65.7,741,cubierto,severa,mojada,1001,0,-192.0,11.8,False,True,False,12,False,11,309,Peligro
23.7,55,16.0,6833,nublado,0.4,281,135,8.9,-13.3,17.6,3893,nublado,ninguna,seca,1020,500,1664.0,16.2,False,False,False,17,False,8,215,Seguro
25.1,71,17.8,7375,nublado,0.9,179,45,12.8,-12.4,24.9,2586,dispersas,ninguna,seca,1000,0,1212.0,21.9,False,False,False,23,True,8,215,Seguro
15.3,28,3.8,8916,despejado,0.0,278,270,0.5,3.8,4.6,13624,despejado,ninguna,seca,1017,1000,1276.0,9.7,False,False,False,18,False,9,251,Seguro
6.6,100,11.3,1591,niebla,1.6,95,135,7.3,8.7,15.8,584,cubierto,ninguna,humeda,1006,1000,232.0,5.9,True,False,False,11,False,6,153,Precaución
23.2,68,16.0,8639,nublado,0.4,345,0,4.1,15.5,20.8,3200,nublado,leve,seca,1011,2000,3464.0,10.4,False,False,False,16,False,5,140,Seguro
27.7,55,7.4,8349,nublado,1.3,121,225,7.2,-1.8,11.1,3334,dispersas,ninguna,humeda,1005,0,1524.0,21.3,False,False,False,18,False,3,86,Seguro
32.8,27,0.4,8741,despejado,0.0,306,180,0.3,-0.2,0.5,5648,despejado,ninguna,seca,1013,2500,5236.0,21.5,False,False,False,7,False,8,226,Seguro
24.0,58,24.1,8806,nublado,1.1,336,45,22.5,8.6,31.3,3605,dispersas,leve,seca,1007,2500,4180.0,11.6,False,False,False,18,False,1,5,Precaución
27.9,58,12.5,6270,nublado,0.6,300,180,10.8,-6.2,18.8,2978,nublado,leve,humeda,1020,2500,4648.0,15.5,False,False,False,9,False,12,344,Seguro
18.0,95,0.6,1861,niebla,1.0,134,0,0.4,-0.4,0.8,489,cubierto,ninguna,mojada,1016,2500,3460.0,17.9,False,False,False,15,False,2,56,Precaución
33.4,39,10.8,8435,despejado,0.0,206,315,10.2,-3.5,15.1,9817,despejado,leve,seca,1010,0,2208.0,18.9,False,False,False,14,False,9,259,Seguro
24.5,75,28.4,1706,granizo,29.0,210,270,24.6,14.2,31.2,880,cubierto,severa,contaminada,1013,2000,3620.0,22.3,False,True,True,14,False,10,292,Peligro
14.5,88,18.6,3275,lluvia_ligera,7.7,156,270,17.0,-7.6,22.3,1027,nublado,leve,mojada,1019,1000,1180.0,11.5,False,False,False,4,True,7,207,Precaución
14.6,82,15.4,3463,lluvia_ligera,3.4,147,135,3.2,15.1,23.1,1270,nublado,moderada,mojada,1017,2000,2432.0,11.8,False,False,False,3,True,6,164,Precaución
19.3,55,11.8,6362,nublado,0.4,119,135,3.3,11.3,16.5,3939,nublado,leve,seca,1020,0,516.0,11.5,False,False,False,22,True,9,247,Seguro
16.7,56,11.6,6057,nublado,0.5,93,135,7.8,8.6,16.2,1806,dispersas,leve,humeda,1018,1000,1444.0,4.2,False,False,False,3,True,3,77,Seguro
16.7,30,15.2,9654,despejado,0.0,42,0,10.2,11.3,19.8,14598,despejado,ninguna,seca,1013,2000,2684.0,3.9,False,False,False,17,False,12,332,Seguro
18.3,55,6.9,9059,despejado,0.0,190,270,6.8,1.2,9.7,9247,despejado,ninguna,seca,1018,0,396.0,5.6,False,False,False,0,True,6,172,Seguro
12.5,67,23.7,6716,nublado,1.5,146,135,4.5,23.3,28.4,1717,dispersas,leve,humeda,1019,2000,2180.0,3.5,False,False,False,13,False,6,151,Seguro
14.9,96,4.5,1352,niebla,0.1,53,225,0.6,-4.5,6.3,270,cubierto,ninguna,humeda,1005,2500,3088.0,14.9,False,False,False,21,True,10,288,Precaución
5.3,99,2.7,2424,niebla,1.6,145,270,2.2,-1.5,3.2,669,cubierto,ninguna,mojada,1020,1000,76.0,4.6,True,False,False,9,False,12,361,Precaución
13.6,52,18.7,6413,nublado,0.2,106,135,9.1,16.4,26.2,1992,nublado,ninguna,humeda,1001,2500,2932.0,3.9,False,False,False,23,True,8,216,Seguro
18.7,50,20.9,8181,nublado,0.6,95,225,16.0,-13.4,27.2,3706,nublado,leve,seca,1005,2000,2924.0,7.3,False,False,False,9,False,4,117,Seguro
-0.7,85,17.4,3088,nieve,14.1,44,180,12.1,-12.5,20.9,1842,cubierto,leve,nevada,1000,2500,1216.0,-3.0,False,False,False,10,False,10,274,Precaución
15.2,99,0.6,1949,niebla,1.7,121,90,0.3,0.5,0.8,672,cubierto,ninguna,mojada,1018,2000,2504.0,13.9,False,False,False,0,True,6,177,Precaución
22.5,38,8.1,8567,despejado,0.0,118,225,7.7,-2.4,11.3,10554,despejado,ninguna,seca,1028,500,1520.0,15.3,False,False,False,17,False,3,83,Seguro
18.2,80,24.7,3224,lluvia_ligera,3.4,0,270,24.7,0.0,29.6,1545,nublado,leve,mojada,1015,2000,2864.0,14.9,False,False,False,19,False,8,216,Precaución
8.5,93,9.9,1010,niebla,0.9,77,135,8.4,5.2,13.9,325,cubierto,ninguna,humeda,1000,1000,460.0,7.4,True,False,False,16,False,11,321,Precaución
14.0,83,12.8,5331,lluvia_ligera,7.6,260,135,10.5,-7.3,17.9,1680,nublado,leve,humeda,1012,1000,1120.0,9.2,False,False,False,23,True,2,37,Seguro
16.6,59,11.4,7885,nublado,0.5,180,180,0.0,11.4,13.7,2551,nublado,ninguna,humeda,1001,0,192.0,3.7,False,False,False,0,True,2,58,Seguro
11.1,89,22.9,4042,lluvia_ligera,5.4,174,315,14.4,-17.8,25.2,2408,cubierto,moderada,mojada,1008,500,152.0,6.9,False,False,False,19,False,3,86,Precaución
6.0,92,1.4,2253,niebla,1.7,38,180,0.9,-1.1,2.0,265,cubierto,ninguna,humeda,1007,0,-1080.0,5.2,True,False,False,2,True,8,211,Precaución
6.6,97,8.5,909,niebla,1.0,31,135,8.2,-2.1,11.9,748,cubierto,ninguna,humeda,1006,2000,1472.0,5.2,True,False,False,13,False,11,308,Precaución
7.3,90,33.5,3172,lluvia_fuerte,23.8,157,0,13.1,-30.8,36.9,963,cubierto,moderada,mojada,998,0,-924.0,5.0,True,True,False,15,False,2,36,Peligro
